"Plot Title: Water_EP_KR"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10246380, SEN S/N: 10246380, LBL: water_pressure)","Temp, °C (LGR S/N: 10246380, SEN S/N: 10246380, LBL: water_temp)","Coupler Detached (LGR S/N: 10246380)","Coupler Attached (LGR S/N: 10246380)","Host Connected (LGR S/N: 10246380)","Stopped (LGR S/N: 10246380)","End Of File (LGR S/N: 10246380)","Coupler Detached (LGR S/N: 10246375)","Coupler Attached (LGR S/N: 10246375)","Host Connected (LGR S/N: 10246375)","Stopped (LGR S/N: 10246375)","End Of File (LGR S/N: 10246375)"
1,11/10/2024 11:49:44,,,,,,,,Logged,,,,
2,11/10/2024 11:55:50,97.713,21.760,,,,,,,,,,
3,11/10/2024 11:56:49,,,Logged,,,,,,,,,
4,11/10/2024 11:56:50,,,,Logged,,,,,,,,
5,11/10/2024 11:56:51,,,Logged,,,,,,,,,
6,11/10/2024 11:56:52,,,,Logged,,,,,,,,
7,11/10/2024 11:56:53,,,Logged,,,,,,,,,
8,11/10/2024 12:10:50,97.695,22.429,,,,,,,,,,
9,11/10/2024 12:25:50,97.677,21.951,,,,,,,,,,
10,11/10/2024 12:40:50,97.636,21.473,,,,,,,,,,
11,11/10/2024 12:55:50,97.607,21.282,,,,,,,,,,
12,11/10/2024 13:10:50,97.588,21.091,,,,,,,,,,
13,11/10/2024 13:25:50,97.552,20.996,,,,,,,,,,
14,11/10/2024 13:40:50,97.526,20.901,,,,,,,,,,
15,11/10/2024 13:55:50,97.533,20.805,,,,,,,,,,
16,11/10/2024 14:10:50,97.467,20.805,,,,,,,,,,
17,11/10/2024 14:25:50,97.442,20.710,,,,,,,,,,
18,11/10/2024 14:40:50,97.464,20.710,,,,,,,,,,
19,11/10/2024 14:55:50,97.506,23.484,,,,,,,,,,
20,11/10/2024 15:10:50,101.486,15.855,,,,,,,,,,
21,11/10/2024 15:25:50,101.463,14.709,,,,,,,,,,
22,11/10/2024 15:40:50,101.458,14.325,,,,,,,,,,
23,11/10/2024 15:55:50,101.418,14.134,,,,,,,,,,
24,11/10/2024 16:10:50,101.425,14.038,,,,,,,,,,
25,11/10/2024 16:25:50,101.400,13.942,,,,,,,,,,
26,11/10/2024 16:40:50,101.374,13.846,,,,,,,,,,
27,11/10/2024 16:55:50,101.363,13.846,,,,,,,,,,
28,11/10/2024 17:10:50,101.337,13.750,,,,,,,,,,
29,11/10/2024 17:25:50,101.337,13.750,,,,,,,,,,
30,11/10/2024 17:40:50,101.304,13.750,,,,,,,,,,
31,11/10/2024 17:55:50,101.304,13.750,,,,,,,,,,
32,11/10/2024 18:10:50,101.282,13.750,,,,,,,,,,
33,11/10/2024 18:25:50,101.272,13.750,,,,,,,,,,
34,11/10/2024 18:40:50,101.272,13.750,,,,,,,,,,
35,11/10/2024 18:55:50,101.304,13.750,,,,,,,,,,
36,11/10/2024 19:10:50,101.293,13.750,,,,,,,,,,
37,11/10/2024 19:25:50,101.272,13.750,,,,,,,,,,
38,11/10/2024 19:40:50,101.261,13.750,,,,,,,,,,
39,11/10/2024 19:55:50,101.282,13.750,,,,,,,,,,
40,11/10/2024 20:10:50,101.282,13.750,,,,,,,,,,
41,11/10/2024 20:25:50,101.275,13.846,,,,,,,,,,
42,11/10/2024 20:40:50,101.253,13.846,,,,,,,,,,
43,11/10/2024 20:55:50,101.275,13.846,,,,,,,,,,
44,11/10/2024 21:10:50,101.253,13.846,,,,,,,,,,
45,11/10/2024 21:25:50,101.242,13.846,,,,,,,,,,
46,11/10/2024 21:40:50,101.220,13.846,,,,,,,,,,
47,11/10/2024 21:55:50,101.199,13.846,,,,,,,,,,
48,11/10/2024 22:10:50,101.210,13.846,,,,,,,,,,
49,11/10/2024 22:25:50,101.235,13.942,,,,,,,,,,
50,11/10/2024 22:40:50,101.268,13.942,,,,,,,,,,
51,11/10/2024 22:55:50,101.279,13.942,,,,,,,,,,
52,11/10/2024 23:10:50,101.279,13.942,,,,,,,,,,
53,11/10/2024 23:25:50,101.301,13.942,,,,,,,,,,
54,11/10/2024 23:40:50,101.301,13.942,,,,,,,,,,
55,11/10/2024 23:55:50,101.334,13.942,,,,,,,,,,
56,12/10/2024 00:10:50,101.345,13.942,,,,,,,,,,
57,12/10/2024 00:25:50,101.356,13.942,,,,,,,,,,
58,12/10/2024 00:40:50,101.356,13.942,,,,,,,,,,
59,12/10/2024 00:55:50,101.389,13.942,,,,,,,,,,
60,12/10/2024 01:10:50,101.400,13.942,,,,,,,,,,
61,12/10/2024 01:25:50,101.422,13.942,,,,,,,,,,
62,12/10/2024 01:40:50,101.440,13.846,,,,,,,,,,
63,12/10/2024 01:55:50,101.473,13.846,,,,,,,,,,
64,12/10/2024 02:10:50,101.462,13.846,,,,,,,,,,
65,12/10/2024 02:25:50,101.484,13.846,,,,,,,,,,
66,12/10/2024 02:40:50,101.495,13.846,,,,,,,,,,
67,12/10/2024 02:55:50,101.495,13.846,,,,,,,,,,
68,12/10/2024 03:10:50,101.527,13.846,,,,,,,,,,
69,12/10/2024 03:25:50,101.524,13.750,,,,,,,,,,
70,12/10/2024 03:40:50,101.524,13.750,,,,,,,,,,
71,12/10/2024 03:55:50,101.524,13.750,,,,,,,,,,
72,12/10/2024 04:10:50,101.546,13.750,,,,,,,,,,
73,12/10/2024 04:25:50,101.557,13.750,,,,,,,,,,
74,12/10/2024 04:40:50,101.586,13.654,,,,,,,,,,
75,12/10/2024 04:55:50,101.586,13.654,,,,,,,,,,
76,12/10/2024 05:10:50,101.608,13.654,,,,,,,,,,
77,12/10/2024 05:25:50,101.637,13.558,,,,,,,,,,
78,12/10/2024 05:40:50,101.659,13.558,,,,,,,,,,
79,12/10/2024 05:55:50,101.670,13.558,,,,,,,,,,
